ingredients_name,quantity
Rice flour,200 g.
Glutinous rice flour,50 g.
Granulated sugar,150 g.
Salt,1 g.
Coconut milk,200 ml.
Pandan leaves for fragrance,2–3 pandan leaves
Vegetable oil for greasing mold,10 ml.
