ingredients_name,quantity
Rice flour,150 g.
All-purpose flour,50 g.
Granulated sugar,80 g.
Salt,1 g.
Coconut milk,100 ml.
Toasted white sesame seeds,20 g.
Vegetable oil for frying,300 ml.
