ingredients_name,quantity
Cooked hulled mung beans,300 g.
Coconut or palm sugar,236 g.
Eggs (yolks),3 yolks
Eggs (whole),4 eggs
Granulated sugar,144 g.
Coconut cream,240 ml.
Salt,3 g.
Shallot,1 shallot
Vegetable oil,80 ml.
