ingredients_name,quantity
Dried shelled mung beans,115 g.
Water,840 ml.
Sugar,70 g.
Coconut milk,120 ml.
Salt,0.63 g.
Pandan leaf (Optional),1 leaf
Agar agar powder,15 g.
