ingredients_name,quantity
Ripe Namwa banana,400 g.
Young green rice flakes,60 g.
Rice flour,60 g.
Wheat flour,20 g.
Granulated sugar,50 g.
Coconut milk,120 ml.
Salt,1 g.
White sesame seeds,10 g.
Vegetable oil for frying,500 ml.
