ingredients_name,quantity
Glutinous rice,400 g.
Coconut milk,480 ml.
Granulated sugar,100 g.
Palm sugar,100 g.
Salt,2 g.
Black beans,80 g.
Bamboo tubes,3–4 bamboo tubes
