ingredients_name,quantity
Chopped pandan leaves,25 g.
Water,240 ml.
Glutinous rice flour,120 g.
Dried shredded coconut,60 g.
Hot water,60 ml.
Salt,2 g.
Palm sugar pluck,200 g.
