ingredients_name,quantity
Glutinous rice,400 g.
Coconut milk,360 ml.
"Ripe Namwa banana, cut into halves",400 g.
Cooked black beans,80 g.
Palm sugar,100 g.
Salt,2 g.
Banana leaves for wrapping,
Kitchen string / toothpick for tying,
