ingredients_name,quantity
Cooked Jasmine Rice,50 g.
Rice flour,65 g.
Water,237 ml.
Coconut milk,300 ml.
Shredded dried coconut,21 g.
Palm sugar (Chopped),30 g.
Salt,3 g.
Granulated sugar,25 g.
