ingredients_name,quantity
Rice flour,100 g.
Tapioca flour,100 g.
Mung bean flour,50 g.
Coconut milk,500 ml.
Granulated sugar,250 g.
Pandan juice,50 ml.
Food coloring,0.2 ml.
Salt,1 g.
