ingredients_name,quantity
Young coconut meat,150 g.
Mature coconut meat,150 g.
Coconut water,50 ml.
Salt,5 g.
Palm sugar,480 g.
Glutinous rice flour,300 g.
Palm sugar paste,170 g.
Rice flour,120 g.
Mung bean flour,10 g.
Thick coconut milk,200 ml.
Thin coconut milk,200 ml.
Granulated sugar,25 g.
