ingredients_name,quantity
White glutinous rice,210 g.
Coconut milk,280 ml.
Salt,4 g.
Sugar,100 g.
Rice flour,5 g.
Water,15 ml.
Shelled and split mung beans,30 g.
Ripe mangoes,3 mangoes
